"id","title","description","subCatType","subcatImage","srOrder","isActive","isDeleted","createdAt","updatedAt","categoryId","title_ol"
"214","Stir Fry Pasta",,NULL,"public/87984726010/subcategory/2023_12_15_18_36-chuttersnapxd0wcpd8GkAunsplash.jpg","11","1","0","2023-12-15 18:16:42","2024-04-04 10:44:34","54","Stir Fry Pasta"
"215","Stir Fry Noodle",,NULL,"public/87984726010/subcategory/2023_12_15_18_35-krystalngUXzx4Q3yeXounsplash.jpg","12","1","0","2023-12-15 18:18:40","2024-04-04 10:44:34","54","Stir Fry Noodle"
"216","Pasta",,NULL,"public/87984726010/subcategory/2023_12_15_18_34-sorinpopaXAxvKp0tdwUunsplash1.jpg","13","1","0","2023-12-15 18:23:00","2024-04-04 10:44:34","54","Pasta"
"217","Desserts",,NULL,"public/87984726010/subcategory/2023_12_15_18_32-noneother1aVdbXWoiMunsplash.jpg","17","1","0","2023-12-15 18:25:48","2024-04-04 10:44:34","54","Desserts"
"218","Ice Cream",,NULL,"public/87984726010/subcategory/2023_12_15_18_31-canaryicecream.jpg","18","1","0","2023-12-15 18:28:55","2024-04-04 10:44:34","54","Ice Cream"
"219","Starters and Appetizers",,NULL,"public/87984726010/subcategory/2023_12_15_22_22-calumlewisrPkgYDh2bmounsplash.jpg","5","1","0","2023-12-15 21:04:11","2024-04-04 10:44:34","54","Starters and Appetizers"
"220","Swahili food",,NULL,"public/87984726010/subcategory/2023_12_15_22_23-swahili.jpg","14","1","0","2023-12-15 21:08:06","2024-04-04 10:44:34","54","Swahili food"
"221","Pizza",,NULL,"public/87984726010/subcategory/2023_12_15_22_24-aurelienlemassontheobaldx00CzBt4Dfkunsplash.jpg","15","1","0","2023-12-15 21:18:10","2024-04-04 10:44:34","54","Pizza"
"222","Snacks",,NULL,"public/87984726010/subcategory/2023_12_15_22_27-farhadibrahimzade0iHuxGxSnKUunsplash.jpg","6","1","0","2023-12-15 21:22:18","2024-04-04 10:44:34","54","Snacks"
"223","Wrap",,NULL,"public/87984726010/subcategory/2023_12_15_22_25-maxgrissSpp1G283dowunsplash.jpg","4","1","0","2023-12-15 21:24:48","2024-04-04 10:44:34","54","Wrap"
"224","Fajita",,NULL,"public/87984726010/subcategory/2023_12_15_22_25-nadineprimeauWYnj4atCRFYunsplash.jpg","16","1","0","2023-12-15 21:31:17","2024-04-04 10:44:34","54","Fajita"
"225","Soup",,NULL,"public/87984726010/subcategory/2023_12_15_22_20-hannabalanS0aApSK9i18unsplash.jpg","0","1","0","2023-12-15 21:34:38","2024-04-04 10:44:34","54","Soup"
"226","Hot Drinks",,NULL,"public/87984726010/subcategory/2023_12_15_22_15-claybankswkd7XBRfU4unsplash.jpg","0","1","0","2023-12-15 21:37:14","2023-12-15 22:15:29","55","Hot Drinks"
"227","Cold Drinks",,NULL,"public/87984726010/subcategory/2023_12_15_22_16-nicolewilcoxUuDkyYN4BYunsplash.jpg","0","1","0","2023-12-15 21:39:33","2023-12-15 22:16:21","55","Cold Drinks"
"228","Fresh Juice",,NULL,"public/87984726010/subcategory/2023_12_15_22_16-abhishekhajarekkrXVKKjhgunsplash.jpg","0","1","0","2023-12-15 21:40:28","2023-12-15 22:16:50","55","Fresh Juice"
"229","Soft Drinks",,NULL,"public/87984726010/subcategory/2023_12_15_22_17-mahbodakhzamiVM6uuMFPIGMunsplash.jpg","0","1","0","2023-12-15 21:43:10","2023-12-15 22:17:37","55","Soft Drinks"
"230","Milkshake",,NULL,"public/87984726010/subcategory/2023_12_15_22_18-jonathanborba7TeR1A1MUpMunsplash.jpg","0","1","0","2023-12-15 21:46:08","2023-12-15 22:18:29","55","Milkshake"
"231","Smoothie",,NULL,"public/87984726010/subcategory/2023_12_15_22_19-denistuksar9RmKpWdcun0unsplash.jpg","0","1","0","2023-12-15 21:47:25","2023-12-15 22:19:30","55","Smoothie"
"232","Vinho da casa",,NULL,NULL,"0","1","0","2023-12-18 12:19:16","2023-12-18 23:18:44","36","House Wine"
"233","Vinho italiano",,NULL,NULL,"0","1","0","2023-12-18 12:19:24","2023-12-18 23:17:54","36","Italian Wine"
"234","Vinho tinto português",,NULL,NULL,"0","1","0","2023-12-18 12:19:33","2023-12-18 23:17:32","36","Portuguese Red Wine"
"235","Vinho branco",,NULL,NULL,"0","1","0","2023-12-18 12:19:45","2023-12-18 23:15:55","36","White Wine"
"236","Vinho verde",,NULL,NULL,"0","1","0","2023-12-18 12:19:52","2023-12-18 23:14:28","36","Green Wine"
"237","Vinho rosé",,NULL,NULL,"0","1","0","2023-12-18 12:20:01","2023-12-18 23:14:09","36","Rosé Wine"
"238","Sangria",,NULL,NULL,"0","1","0","2023-12-18 12:20:11","2023-12-18 23:13:27","36","Sangria"
"239","Soups",,NULL,"public/39825712642/subcategory/2023_12_19_23_23-crememarisco.jpg","8","1","0","2023-12-19 23:04:19","2023-12-26 16:04:27","56","Soups"
"240","Cheese",,NULL,"public/39825712642/subcategory/2023_12_19_23_23-QueijoNisa2bx.png","9","1","0","2023-12-19 23:04:33","2023-12-26 16:04:04","56","Cheese"
"241","Seafood",,NULL,"public/39825712642/subcategory/2023_12_19_23_23-sapateira.jpg","10","1","0","2023-12-19 23:04:44","2023-12-26 16:03:38","56","Seafood"
"242","Couverts",,NULL,"public/39825712642/subcategory/2023_12_19_23_22-couvert.jpg","0","1","0","2023-12-19 23:19:21","2023-12-26 14:03:43","56","Couverts"
"243","PASTA & RISOTTO",,NULL,NULL,"0","1","1","2023-12-25 02:32:33","2023-12-25 02:32:58","65",NULL
"244","CAFÉS ",,NULL,"public/86947381692/subcategory/2023_12_28_3_36-IMG8023.jpeg","1","1","0","2023-12-25 02:39:25","2024-01-10 04:50:42","72","Coffee"
"245","Chocolate quente",,NULL,NULL,"0","1","0","2023-12-25 02:39:41","2024-01-10 04:40:52","72","Hot chocolat"
"246","CHÁS ",,NULL,"public/86947381692/subcategory/2023_12_28_4_44-IMG8753.jpeg","2","1","0","2023-12-25 02:39:52","2024-01-14 19:57:17","72","Tea"
"247","BEBIDAS QUENTES COM ALCOOL",,NULL,NULL,"3","1","0","2023-12-25 02:41:15","2024-03-01 20:01:26","72","HOT DRINKS WITH ALCOHOL"
"248","PASTA E RISOTTO",,NULL,NULL,"0","1","0","2023-12-25 02:45:32","2024-01-10 01:54:05","73","Pasta & Risotto"
"249","PRATOS COM CARNE ",,NULL,NULL,"0","1","0","2023-12-25 02:46:25","2024-01-10 02:16:54","73","Meat"
"250","PRATOS COM PEIXE ",,NULL,"public/86947381692/subcategory/2023_12_28_4_46-IMG2767.jpeg","0","1","0","2023-12-25 02:46:40","2024-01-10 02:54:18","73","Fish"
"251","PRATOS COM OVOS ",,NULL,"public/86947381692/subcategory/2023_12_28_4_49-IMG7683.jpeg","0","1","0","2023-12-25 02:47:39","2024-03-01 19:53:45","73","EGG DISHES"
"252","VEGETAIS ",,NULL,NULL,"0","1","0","2023-12-25 02:49:18","2024-03-01 19:50:00","65","VEGETABLES"
"253","CARNE",,NULL,NULL,"0","1","0","2023-12-25 02:49:31","2024-01-10 01:22:05","65","Meat 🥩"
"254","DO MAR ",,NULL,NULL,"0","1","0","2023-12-25 02:49:43","2024-01-10 01:35:03","65","Seafood"
"255","TEX  MEX",,NULL,NULL,"0","1","0","2023-12-25 03:31:07","2024-01-10 01:36:56","65","Tex mex"
"256","OUTROS EXTRA",,NULL,NULL,"0","1","0","2023-12-25 03:37:10","2024-01-10 01:48:29","65","Other"
"257","crepes salgados ",,NULL,NULL,"0","1","0","2023-12-25 03:41:20","2024-01-10 04:29:45","71","Salted crepes"
"258","tostas ",,NULL,NULL,"0","1","0","2023-12-25 03:45:14","2024-03-01 19:56:19","71","toast"
"259","couvert",,NULL,NULL,"0","1","0","2023-12-25 04:05:16","2024-01-10 01:51:05","65","Couvert"
"260","CREPES ",,NULL,"public/86947381692/subcategory/2023_12_28_4_41-IMG0747.jpeg","0","1","0","2023-12-25 04:28:00","2024-02-27 22:28:22","70","Crepes"
"261","GELADOS ",,NULL,NULL,"1","1","0","2023-12-25 04:28:19","2024-02-27 22:31:09","70","Ice Cream"
"262","WAFFLES /GAUFRES",,NULL,"public/86947381692/subcategory/2023_12_28_4_43-IMG7688.jpeg","3","1","0","2023-12-25 04:28:41","2024-01-17 06:26:23","70","Waffles"
"263","BOLOS ",,NULL,NULL,"2","1","0","2023-12-25 04:28:59","2024-02-27 22:36:14","70","Cakes"
"264","GELADOS ",,NULL,NULL,"0","1","1","2023-12-25 04:29:11","2023-12-25 04:29:23","70",NULL
"265","PRATOS VEGAN ",,NULL,NULL,"0","1","0","2023-12-25 05:13:43","2024-01-10 03:06:52","73","Vegan"
"266","COCKTAILS ",,NULL,"public/86947381692/subcategory/2023_12_27_2_13-IMG8809.jpeg","0","1","0","2023-12-27 02:13:31","2024-03-01 20:02:28","74","COCKTAILS"
"267","REFRIGERANTES / SOFT DRINKS ",,NULL,NULL,"0","1","0","2023-12-27 02:14:23","2024-03-01 20:03:16","74","SOFT DRINKS"
"268","SUMOS & COMPANHIA ",,NULL,NULL,"0","1","0","2023-12-27 02:15:13","2024-01-16 19:06:34","74","Smoothies, juices & Co"
"269","ÁGUA ",,NULL,NULL,"0","1","0","2023-12-27 02:15:52","2024-03-01 20:04:16","74","Water"
"270","CERVEJAS ",,NULL,NULL,"0","1","0","2023-12-27 02:16:17","2024-01-17 04:55:46","74","Beers 🍺"
"271","GIN ",,NULL,"public/86947381692/subcategory/2023_12_28_4_8-IMG8661.jpeg","0","1","0","2023-12-27 02:16:35","2024-03-01 20:05:06","74","Gin"
"272","RHUM ",,NULL,"public/86947381692/subcategory/2023_12_28_4_2-IMG8662.jpeg","0","1","0","2023-12-27 02:16:54","2024-03-01 20:05:36","74","Rhum"
"273","LICORES ",,NULL,"public/86947381692/subcategory/2023_12_28_4_3-IMG8668.jpeg","0","1","0","2023-12-27 02:17:23","2024-01-17 05:13:43","74","Liquor"
"274","VODKA ",,NULL,NULL,"0","0","0","2023-12-27 02:17:44","2024-01-17 05:18:28","74","Vodka"
"275","CERVEJAS ",,NULL,NULL,"0","1","1","2023-12-27 02:22:25","2023-12-27 02:22:44","74",NULL
"276","WHISKEY ",,NULL,"public/86947381692/subcategory/2023_12_28_4_3-IMG8658.jpeg","0","1","0","2023-12-27 02:23:27","2024-03-01 20:06:37","74","Whiskey"
"277","APERITIVO/APERITIF ",,NULL,NULL,"0","1","0","2023-12-27 02:25:40","2024-01-17 05:20:11","74","Aperitif"
"278","VINHOS LICOROSOS ",,NULL,"public/86947381692/subcategory/2023_12_28_4_6-IMG8664.jpeg","0","1","0","2023-12-27 02:26:43","2024-03-01 20:07:47","74","Liqueur wines"
"279","PIZZAS ",,NULL,NULL,"0","1","1","2023-12-27 03:20:58","2024-01-17 06:08:00","73",NULL
"280","SANGRIA",,NULL,NULL,"0","1","0","2023-12-27 03:34:21","2024-03-01 20:08:35","74","Sangria"
"281","Vinho a copo ",,NULL,NULL,"0","1","0","2023-12-27 03:35:54","2024-03-01 20:22:24","76","1 glass of wine"
"282","Sangria ",,NULL,NULL,"0","1","0","2023-12-27 03:36:15","2024-01-15 06:32:27","76","Sangria"
"283","Vinho branco ",,NULL,NULL,"0","1","0","2023-12-27 03:36:40","2024-03-01 20:10:26","76","White wine"
"284","Vinho tinto ",,NULL,NULL,"0","1","0","2023-12-27 03:36:52","2024-03-01 20:10:52","76","Red wine"
"285","Vinho rosé",,NULL,NULL,"0","1","0","2023-12-27 03:37:09","2024-03-01 20:11:14","76","Rose wine"
"286","Vinho verde ",,NULL,NULL,"0","1","0","2023-12-27 03:37:38","2024-03-01 20:11:36","76","Green wine"
"287","🍾 Espumantes , champagne , Prosecco  🍾 ",,NULL,NULL,"0","1","0","2023-12-27 03:39:50","2024-01-10 01:19:24","76","Champagne 🍾, Prosecco , sparkling wine"
"288","Pizzas 🍕 ",,NULL,NULL,"0","1","0","2023-12-27 06:54:43","2024-02-27 22:40:26","75","Pizza 🍕"
"289","Pode adicionar Ingredientes extra ",,NULL,NULL,"0","1","0","2023-12-27 07:25:11","2024-02-27 22:30:10","75","Extra item"
"290","Brandys & cognacs",,NULL,NULL,"0","1","0","2023-12-27 07:50:28","2024-01-09 23:25:22","74","Brandys & cognacs"
"291","Polenta Frita",,NULL,NULL,"0","1","1","2023-12-28 11:44:12","2023-12-28 11:44:26","77",NULL
"292","Bebidas sem álcool",,NULL,NULL,"0","1","1","2023-12-28 12:11:57","2023-12-28 12:12:02","81",NULL
"293","Bebidas sem álcool",,NULL,NULL,"0","1","0","2023-12-28 12:12:43","2023-12-28 12:35:40","82","Non alcoholic beverages"
"294","Coquetéis",,NULL,NULL,"0","1","0","2023-12-28 12:12:50","2023-12-28 12:35:45","82","Cocktails"
"295","Cerveja de pressão",,NULL,NULL,"0","1","0","2023-12-28 12:12:59","2023-12-28 12:35:55","82","Draft beer"
"296","Cerveja italiana",,NULL,NULL,"0","1","0","2023-12-28 12:13:09","2023-12-28 12:36:13","82","Italian beer"
"297","Aperitivos",,NULL,NULL,"0","1","0","2023-12-28 12:13:18","2023-12-28 12:36:22","82","Digestives"
"298","Cafeteria",,NULL,NULL,"0","1","0","2023-12-28 12:13:25","2023-12-28 12:36:31","82","Coffee shop"
"299","Carnes",,NULL,NULL,"1","1","0","2024-01-05 19:53:39","2024-03-05 20:32:45","83",NULL
"300","Peixes",,NULL,NULL,"0","1","0","2024-01-05 19:58:49","2024-03-05 20:32:45","83",NULL
"301","Especialidades",,NULL,NULL,"2","1","0","2024-01-05 20:16:38","2024-03-05 20:32:45","83",NULL
"302","test",,NULL,NULL,"0","1","0","2024-01-17 10:41:49","2024-01-17 10:41:49","86",NULL
"303","Entradas ",,NULL,"public/51907774098/subcategory/2024_1_24_19_55-PodeQueijo.png","0","1","0","2024-01-24 19:55:27","2024-01-24 20:14:54","93",NULL
"304","Prato do Dia",,NULL,"public/51907774098/subcategory/2024_1_24_20_0-FrangocomQuiabo.png","2","1","0","2024-01-24 20:00:44","2024-01-24 20:14:54","93",NULL
"305","Especialidades",,NULL,"public/51907774098/subcategory/2024_1_24_20_3-CostelinhacomCanjiquinha.png","3","1","0","2024-01-24 20:03:23","2024-01-24 20:14:54","93",NULL
"306","Pratos para Grupos",,NULL,"public/51907774098/subcategory/2024_1_24_20_6-LeitoPururuca.png","1","1","0","2024-01-24 20:06:14","2024-01-24 20:15:42","93",NULL
"307","Sobremesas",,NULL,"public/51907774098/subcategory/2024_1_24_20_8-QueijoMinascomGoiabada.png","4","1","0","2024-01-24 20:08:03","2024-01-24 20:14:54","93",NULL
"308","Bebidas Não Alcoólicas",,NULL,NULL,"0","1","0","2024-01-25 18:43:27","2024-01-25 22:45:47","98","Non-alcoholic drinks"
"309","Bebidas Alcoólicas",,NULL,NULL,"0","1","0","2024-01-25 18:43:42","2024-01-25 22:49:41","98","Alcoholic drinks"
"310","Vinhos",,NULL,NULL,"0","1","1","2024-01-25 18:55:04","2024-01-25 18:56:29","98",NULL
"311","Vinhos Tintos ",,NULL,"public/71805352794/subcategory/2024_1_25_23_20-tiposderolhadevinhorolhadeaglomeradodecortica.jpg","1","1","0","2024-01-25 18:57:09","2024-01-25 23:20:02","99","Red Wines"
"312","Vinhos Brancos ",,NULL,"public/71805352794/subcategory/2024_1_25_23_22-images.jpg","0","1","0","2024-01-25 19:01:11","2024-01-25 23:22:37","99","White Wines"
"313","Sangria",,NULL,"public/71805352794/subcategory/2024_3_14_1_17-WhatsAppImage20240313at21.04.582.jpeg","2","1","0","2024-01-25 20:24:53","2024-03-14 01:17:07","99","Sangria"
"314","Verdes, Rosé e Espumante",,NULL,"public/71805352794/subcategory/2024_1_25_23_25-images1.jpg","3","1","0","2024-01-25 20:25:53","2024-01-26 00:04:55","99","Green, Rosé, Sparkling Wine"
"315","Acompanhamentos ",,NULL,NULL,"0","1","0","2024-01-25 22:19:57","2024-01-25 22:32:35","96","Side dishes"
"316","Portugueses Brancos",,NULL,NULL,"1","1","0","2024-01-26 13:45:33","2024-01-26 15:47:06","100",NULL
"317","Portugueses Tintos",,NULL,NULL,"0","1","0","2024-01-26 13:45:50","2024-01-26 15:47:06","100",NULL
"318","Portugueses Rose",,NULL,NULL,"2","1","0","2024-01-26 13:46:06","2024-01-26 15:47:06","100",NULL
"319","Portugueses Verdes & Alvarinho",,NULL,NULL,"3","1","0","2024-01-26 13:46:24","2024-01-26 15:47:06","100",NULL
"320","Italianos Brancos",,NULL,NULL,"5","1","0","2024-01-26 13:46:36","2024-01-26 15:47:06","100",NULL
"321","Portugueses Espumantes",,NULL,NULL,"4","1","0","2024-01-26 13:46:48","2024-01-26 15:47:06","100",NULL
"322","Italianos Tintos",,NULL,NULL,"6","1","0","2024-01-26 13:47:04","2024-01-26 15:47:06","100",NULL
"323","Italianos Lambrusco",,NULL,NULL,"7","1","0","2024-01-26 13:47:13","2024-01-26 15:47:06","100",NULL
"324","Italianos Prosecco e Espumantes",,NULL,NULL,"8","1","0","2024-01-26 13:47:28","2024-01-26 15:47:06","100",NULL
"325","Antipasti",,NULL,NULL,"0","0","0","2024-01-26 17:09:46","2024-01-26 17:58:28","101",NULL
"326","Pizzas",,NULL,NULL,"0","1","1","2024-01-26 17:09:56","2024-01-26 17:10:59","101",NULL
"327","Antipasti",,NULL,NULL,"0","1","1","2024-01-26 17:10:18","2024-01-26 17:11:27","101",NULL
"328","Pizzas",,NULL,NULL,"0","0","0","2024-01-26 17:10:41","2024-01-26 17:58:36","101",NULL
"329","Massas",,NULL,NULL,"0","0","0","2024-01-26 17:10:49","2024-03-14 14:39:52","101",NULL
"330","Carnes",,NULL,NULL,"0","0","0","2024-01-26 17:17:44","2024-02-09 16:54:54","101",NULL
"331","Risottos",,NULL,NULL,"0","1","0","2024-01-26 17:22:32","2024-03-14 17:09:33","101",NULL
"332","Drink",,NULL,NULL,"0","1","0","2024-02-05 22:56:26","2024-02-05 22:56:26","102",NULL
"333","Dessert",,NULL,NULL,"0","1","0","2024-02-05 22:57:15","2024-02-05 22:57:15","102",NULL
"334","Combinados",,NULL,"public/93476579393/subcategory/2024_3_5_17_24-combinadoexemplo.jpg","0","1","0","2024-02-06 13:31:31","2024-03-05 17:24:29","105",NULL
"335","Entradas",,NULL,"public/93476579393/subcategory/2024_3_6_17_15-GYosas.jpeg","0","1","0","2024-02-06 13:38:36","2024-03-06 17:15:15","105",NULL
"336","Sashimi",,NULL,"public/93476579393/subcategory/2024_3_13_16_14-triosashimi.jpeg","0","1","0","2024-02-06 13:46:29","2024-03-13 16:14:54","105",NULL
"337","Nigiri",,NULL,"public/93476579393/subcategory/2024_3_13_16_4-nigirisalmao.jpeg","0","1","0","2024-02-06 13:51:17","2024-03-13 16:04:55","105",NULL
"338","Hosomaki",,NULL,"public/93476579393/subcategory/2024_3_6_17_14-hososalmao.jpeg","0","1","0","2024-02-06 13:54:49","2024-03-06 17:14:58","105",NULL
"339","Hot Rolls",,NULL,"public/93476579393/subcategory/2024_3_6_17_14-hotbraseado.jpeg","0","1","0","2024-02-06 13:59:03","2024-03-06 17:14:37","105",NULL
"340","Temakis",,NULL,"public/93476579393/subcategory/2024_3_13_17_0-TemakiPhila.jpeg","0","1","0","2024-02-06 14:02:46","2024-03-13 17:00:41","105",NULL
"341","Uramaki",,NULL,"public/93476579393/subcategory/2024_3_6_17_16-doublesalmao.jpeg","0","1","0","2024-02-06 23:01:10","2024-03-06 17:16:32","105",NULL
"342","Gunkan",,NULL,"public/93476579393/subcategory/2024_3_6_17_16-gunaknabrase.jpeg","0","1","0","2024-02-06 23:06:18","2024-03-06 17:16:13","105",NULL
