"id","name","ingredientType","description","isActive","isDeleted","createdAt","updatedAt","restaurantId","name_ol","isDefault"
"22","melancia preta",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Black watermelon","1"
"23","Pão",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Bread","1"
"24","Migalhas de pão",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Bread crumbs","1"
"25","Brócolis",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Broccoli","1"
"26","açúcar mascavo",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Brown sugar","1"
"27","Bulgur",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Bulgur","1"
"28","Manteiga",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Butter","1"
"29","alcaparras",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Capers","1"
"30","arroz carolino",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Carolino rice","1"
"31","arroz carolino",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Carrot","1"
"32","Caju",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Cashew","1"
"33","Couve-flor",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Cauliflower","1"
"34","Queijo cheddar",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Cheddar cheese","1"
"35","Queijo cheddar",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Cherry Tomato","1"
"36","sementes de chia",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Chia seeds","1"
"37","Hambúrguer de frango",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Chicken burger","1"
"38","coxinha de frango",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Chicken drumstick","1"
"39","grão de bico",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Chickpea","1"
"40","grão de bico",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Chili pepper","1"
"41","grão de bico",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Chinese cabbage","1"
"42","Cebolinha em molho",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Chives in bunch","1"
"43","Sorvete de chocolate",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Chocolate ice cream","1"
"44","Mousse de chocolate",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Chocolate mousse","1"
"45","Torta de chocolate",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Chocolate pie","1"
"46","bebida de soja com chocolate",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Chocolate soy drink","1"
"47","Manteiga de amendoim picada",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Chopped Peanut Butter","1"
"48","chouriço",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Chorizo","1"
"49","Vinagre de cidra",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Cider vinegar","1"
"50","Cacau em pó",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Cocoa powder","1"
"51","Leite de côco",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Coconut milk","1"
"52","Bacalhau",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Codfish","1"
"53","pescoço de bacalhau",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Codfish neck","1"
"54","Café",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Coffee","1"
"55","sorvete de café",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Coffee ice cream","1"
"56","couve",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Collard greens","1"
"57","Cozinhar Chocolate",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Cooking Chocolate","1"
"58","Coentro",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Coriander","1"
"59","amido de milho",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Cornstarch","1"
"60","Costoletão",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Costoletón","1"
"61","Queijo tipo cottage",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Cottage cheese","1"
"62","cuscuz",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Couscous","1"
"63","hambúrguer de vaca",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Cow burger","1"
"64","Iogurte cremoso de baunilha",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Creamy vanilla yogurt","1"
"65","Pepino",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Cucumber","1"
"66","Cominho",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Cumin","1"
"67","requeijão",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Curd cheese","1"
"68","Curry",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Curry","1"
"69","chocos",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Cuttlefish","1"
"70","datas",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Dates","1"
"71","Biscoito Digestivo",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Digestive Cracker","1"
"72","alho seco",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Dried garlic","1"
"73","alho seco",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Dried garlic","1"
"74","alho seco",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Dried garlic","1"
"75","tomate seco",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Dried Tomatoes","1"
"76","perna de pato",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Duck leg","1"
"77","Edamame",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Edamame","1"
"78","Beringela",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Eggplant","1"
"79","Ovos",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Eggs","1"
"80","Funcho",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Fennel","1"
"81","Queijo feta",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Feta cheese","1"
"82","tiras de filé",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Fillet strips","1"
"83","sal fino",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Fine salt","1"
"84","caldo de peixe",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Fish Broth","1"
"85","Farinha",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Flour","1"
"86","feijão françês",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","French bean","1"
"87","Queijo fresco",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Fresh cheese","1"
"88","peito de frango fresco",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Fresh chicken breast","1"
"89","peito de peru fresco",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Fresh turkey breast","1"
"90","Macarrão Fusilli",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Fusili Pasta","1"
"91","Manteiga de alho e ervas",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Garlic & Herb Butter","1"
"92","Pó de alho",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Garlic powder","1"
"93","Gigante Portobello Marron",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Giant Portobello Marron","1"
"94","Ruivo",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Ginger","1"
"95","Queijo de cabra",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Goat cheese","1"
"96","Dourado",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Golden","1"
"97","Maçã Dourada",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Golden apple","1"
"98","queijo grana",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Grana cheese","1"
"99","granola",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Granola","1"
"100","iogurte grego",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Greek yogurt","1"
"101","Vagens",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Green beans","1"
"102","Pimentão verde",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Green bell pepper","1"
"103","Repolho verde",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Green Cabbage","1"
"104","Lentilhas verdes",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Green lentils","1"
"105","Garoupa",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Grouper","1"
"106","Filete de Pescada",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Hake Fillet","1"
"107","presunto",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Ham","1"
"108","Avelã",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Hazelnut","1"
"109","Mel",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Honey","1"
"110","arroz de jasmim",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Jasmine rice","1"
"111","Ketchup",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Ketchup","1"
"112","alho-poró",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Leek","1"
"113","Limão",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Lemon","1"
"114","Alface",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Lettuce","1"
"115","Lima",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Lime","1"
"116","inguini nero",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Linguini nero","1"
"117","Alface de folhas soltas",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Loose-leaf lettuce","1"
"118","Alface de folhas soltas",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Loose-leaf lettuce","1"
"119","Leite sem lactose com baixo teor de gordura",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Low-fat lactose-free milk","1"
"120","manga",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Mango","1"
"121","Maionese",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Mayonnaise","1"
"122","Lombo de Vaca Picada",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Minced Beef Tenderloin","1"
"123","vitela picada",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Minced veal","1"
"124","Hortelã em cacho",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Mint in bunch","1"
"125","queijo da serra",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Mountain cheese","1"
"126","Queijo mussarela",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Mozzarella cheese","1"
"127","Brotos de feijão",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Mung beans","1"
"128","mostarda com sementes",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Mustard with seeds","1"
"129","iogurte natural",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Natural yogurt","1"
"130","Macarrão",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Noodles","1"
"131","Penne de Aveia",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Oat Penne pasta","1"
"132","Aveia",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Oats","1"
"133","Polvo",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Octopus","1"
"134","Azeite",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Olive oil","1"
"135","Cebola",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Onion","1"
"136","Cebola",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Onion","1"
"137","Cebola",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Onion","1"
"138","Cebola",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Onion","1"
"139","Cebola, frita",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Onion, fried","1"
"140","Cebola, frita",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Orange","1"
"141","batata doce laranja",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Orange sweet potato","1"
"142","Orégano",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Oregano","1"
"143","páprica",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Paprika","1"
"144","Cogumelo Paris com pé",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Paris Mushroom with foot","1"
"145","parmesão",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Parmesan","1"
"146","molho de salsa",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Parsley bunch","1"
"147","Maracujá",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Passionfruit","1"
"148","Amendoim",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Peanut","1"
"149","Amendoim",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Peanut Butter Creamy","1"
"150","Ervilhas",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Peas","1"
"151","Macarrão Penne",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Penne Pasta","1"
"152","Pesto",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Pesto","1"
"153","Petit gateau",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Petit gateau","1"
"154","Massa Pevide",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Pevide Pasta","1"
"155","picanha",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Picanha","1"
"156","Leitão",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Piglet","1"
"157","Abacaxi",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Pineapple","1"
"158","Abacaxi",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Pineapple","1"
"159","Carne de porco",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Pork","1"
"160","hambúrguer de porco",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Pork burger","1"
"161","pescoço de porco",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Pork neck","1"
"162","Costelas de porco",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Pork ribs","1"
"163","Cogumelo Portobello Marron",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Portobello Marron Mushroom","1"
"164","Posta mirandesa (bife do Minho)",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Posta mirandesa (steak from Minho)","1"
"165","Ameixa seca",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Prune","1"
"166","massa folhada",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Puff Pastry","1"
"167","Abóbora",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Pumpkin","1"
"168","doce de abóbora",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Pumpkin jam","1"
"169","Quinoa",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Quinoa","1"
"170","quinua tricolor",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Quinoa tricolor","1"
"171","Passas de uva",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Raisins","1"
"172","Geleia de framboesa",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Raspberry jam","1"
"173","pimentão vermelho",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Red bell pepper","1"
"174","repolho roxo",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Red cabbage","1"
"175","pimenta vermelha",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Red chilli","1"
"176","cebola vermelha",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Red onion","1"
"177","vinagre de vinho tinto",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Red wine vinegar","1"
"178","arroz de risoto",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Risotto rice","1"
"179","pêra rocha",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Rocha pear","1"
"180","Foguete",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Rocket","1"
"181","ramo de alecrim",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Rosemary branch","1"
"182","Açafrão",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Saffron","1"
"183","Salmão",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Salmon","1"
"184","tártaro de salmão",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Salmon tartar","1"
"185","patê de sardinha",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Sardine paté","1"
"186","Badejo",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Sea bass","1"
"187","Sal marinho",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Sea salt","1"
"188",,NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Seitan","1"
"189","seitan",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Sesame seeds","1"
"190","Shoy pack",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Shoy pack","1"
"191",,NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Shrimp","1"
"192","Camarão",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Soy beverage with vanilla","1"
"193","creme de soja",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Soy cream","1"
"194","Molho de soja",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Soy sauce","1"
"195","Soja bem",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Soybeans fine","1"
"196","Espaguete",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Spaghetti","1"
"197","esparguete com aveia",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Spaghetti with oats","1"
"198","Espinafre",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Spinach","1"
"199","arraia",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Stingray","1"
"200","sorvete de morango",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Strawberry ice cream","1"
"201","geleia de morango",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Strawberry jam","1"
"202","molho de pimenta doce",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Sweet chili sauce","1"
"203","Batata doce",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Sweet potato","1"
"204","Peixe-espada",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Swordfish","1"
"205","Teriyaki sauce",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Teriyaki sauce","1"
"206","arroz tailandês",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Thai rice","1"
"207","ramo de tomilho",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Thyme Branch","1"
"208","tofu",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Tofu","1"
"209","Tomate",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Tomato","1"
"210","molhos de tomate",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Tomato bunches","1"
"211","polpa de tomate",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Tomato pulp","1"
"212","Tortas",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Tortillas","1"
"213","Atum",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Tuna","1"
"214","hambúrguer de atum",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Tuna burger","1"
"215","patê de atum",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Tuna paté","1"
"216","Tartar de Atum",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Tuna tartar","1"
"217","Hambúrguer de peru",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Turkey burger","1"
"218","coxa de peru",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Turkey leg","1"
"219","grelos de nabo",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Turnip greens","1"
"220","Sorvete de baunilha",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Vanilla ice cream","1"
"221","Arroz Venere (preto)",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Venere rice (black)","1"
"222","Água",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Water","1"
"223","Melancia",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Watermelon","1"
"224","arroz branco",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","White rice","1"
"225","gergelim branco",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","White sesame seed","1"
"226","batata doce branca",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","White sweet potato","1"
"227","vinagre de vinho branco",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","White wine vinegar","1"
